time_s,cpu0_mhz,cpu6_mhz,vddcpu_uV,vddgpu_uV,thmsoc,thmboard,thmcputop,gpu_mhz,kib_total
0,1820,1872,1050000,700000,73138,49140,67510,384,203776
1,1820,1872,1050000,700000,77550,50890,73230,384,429056
2,1820,1872,1050000,700000,80917,52845,75570,384,647168
3,1820,1872,1050000,700000,82989,54182,77910,384,866304
5,1820,1872,1050000,700000,85061,55671,79990,384,1088512
6,1820,1872,1050000,700000,86874,56696,82070,384,1301504
7,1820,1872,1050000,700000,89464,57721,83890,384,1529856
9,1820,1872,1050000,700000,91018,58489,85190,384,1738752
10,1820,1872,1050000,700000,91795,59642,86490,384,1948672
11,1820,1872,1050000,700000,92313,60155,86750,384,2165760
12,1820,1872,1050000,700000,92313,60923,87010,384,2385920
14,1820,1872,1050000,700000,92831,61436,87790,384,2607104
15,1820,1872,1050000,700000,94126,61948,88310,384,2829312
16,1820,1872,1050000,700000,95162,62461,89090,384,3047424
17,1820,1872,1050000,700000,94903,62717,89090,384,3272704
19,1820,1742,1050000,700000,94644,63101,89350,384,3490816
20,1820,1742,1050000,700000,93608,63101,89870,384,3703808
21,1820,1536,1050000,700000,93090,63229,89090,384,3920896
23,1820,1742,1050000,700000,93349,63357,89090,384,4140032
24,1820,1536,1050000,700000,93608,63485,89090,384,4361216
25,1820,1536,1050000,700000,92831,63870,89090,384,4579328
26,1820,1536,1050000,700000,92572,63998,88830,384,4793344
28,1820,1536,1050000,700000,92572,63870,88570,384,5018624
29,1820,1536,1050000,700000,91795,63998,88310,384,5239808
30,1820,1482,1050000,700000,91536,64254,88310,384,5454848
32,1820,1536,1050000,700000,91018,63998,88050,384,5670912
33,1820,1482,1050000,700000,92054,64126,88050,384,5893120
34,1820,1482,1050000,700000,91795,64254,88050,384,6111232
36,1820,1228.8,1050000,700000,91018,63998,88050,384,6335488
37,1820,1228.8,1050000,700000,90500,64254,88050,384,6557696
38,1820,1228.8,1050000,700000,90759,64254,87790,384,6789120
40,1820,1536,1050000,700000,90241,64510,87270,384,7007232
41,1820,1228.8,1050000,700000,91268,64510,88050,384,7222272
42,1820,1228.8,1050000,700000,90241,64510,87270,384,7441408
44,1820,1228.8,1050000,700000,90241,64510,87270,384,7668736
45,1820,1228.8,1050000,700000,89982,64638,87270,384,7899136
46,1820,1228.8,1050000,700000,89982,64382,87010,384,8116224
48,1820,1228.8,1050000,700000,90241,64638,87790,384,8335360
49,1820,1228.8,1050000,700000,89982,64510,87270,384,8553472
50,1820,1228.8,1050000,700000,90241,64766,87530,384,8779776
52,1820,1228.8,1009375,700000,88946,64895,86230,384,8996864
53,1820,1228.8,1009375,700000,89205,64638,85970,384,9196544
54,1820,1228.8,1009375,700000,88169,64638,85710,384,9421824
56,1820,1228.8,1009375,700000,88428,64766,85710,384,9647104
57,1820,1228.8,1009375,700000,88169,64510,85450,384,9878528
58,1820,1228.8,1009375,700000,87910,64510,85190,384,10096640
60,1820,1228.8,1009375,700000,87910,64510,85450,384,10320896
61,1820,1228.8,1009375,700000,88169,64510,85190,384,10543104
62,1820,1228.8,1009375,700000,87392,64510,84930,384,10762240
64,1820,1228.8,1009375,700000,87651,64254,85450,384,10987520
65,1820,1228.8,1009375,700000,87651,64382,84930,384,11204608
66,1820,1228.8,1009375,700000,87651,64254,85190,384,11428864
68,1716,1228.8,971875,700000,87651,64638,85190,384,11657216
69,1820,1228.8,1009375,700000,87392,64510,84930,384,11875328
70,1820,1228.8,1009375,700000,87651,64638,85190,384,12097536
72,1820,1228.8,1009375,700000,87392,64638,84930,384,12319744
73,1820,1228.8,971875,700000,87910,64766,84930,384,12534784
74,1820,1228.8,1009375,700000,87392,64510,84930,384,12747776
76,1820,1228.8,971875,700000,87651,64382,84930,384,12965888
