time_s,cpu0_mhz,cpu6_mhz,vddcpu_uV,vddgpu_uV,thmsoc,thmboard,thmcputop,gpu_mhz,kib_total
0,2100,2100,1050000,700000,59161,36741,55030,384,219136
1,2100,2100,1050000,700000,66931,39412,62310,384,452608
2,1820,1872,1050000,700000,68226,40998,63350,384,677888
4,1820,1872,1050000,700000,71075,42918,66470,384,894976
5,1820,1872,1050000,700000,72111,43920,67770,384,1115136
6,1820,1872,1050000,700000,73665,45024,68810,384,1332224
7,1820,1872,1050000,700000,74442,45745,70370,384,1549312
9,1820,1872,1050000,700000,76773,46774,71670,384,1773568
10,1820,1872,1050000,700000,77291,48214,72450,384,1994752
11,1820,1872,1050000,700000,78068,48317,73230,384,2208768
12,1820,1872,1050000,700000,78586,48934,73490,384,2425856
13,1820,1872,1050000,700000,80140,49963,74790,384,2643968
15,1820,1872,1050000,700000,80658,50169,75570,384,2864128
16,1820,1872,1050000,700000,80917,50581,75570,384,3083264
17,1820,1872,1050000,700000,81953,51198,76870,384,3302400
19,1820,1872,1050000,700000,83248,51713,76610,384,3534848
20,1820,1872,1050000,700000,82471,51918,77130,384,3757056
21,1820,1872,1050000,700000,83507,52433,77910,384,3975168
22,1820,1872,1050000,700000,83766,52845,77910,384,4194304
24,1820,1872,1050000,700000,84284,52947,78690,384,4421632
25,1820,1872,1050000,700000,84543,53462,79210,384,4643840
26,1820,1872,1050000,700000,85061,53565,78950,384,4862976
27,1820,1872,1050000,700000,85579,54079,79730,384,5083136
29,1820,1872,1050000,700000,85061,54285,79730,384,5304320
30,1820,1872,1050000,700000,85061,54491,80510,384,5529600
31,1820,1872,1050000,700000,86097,54800,80770,384,5743616
32,1820,1872,1050000,700000,86615,55159,80770,384,5961728
34,1820,1872,1050000,700000,86356,55671,81290,384,6181888
35,1820,1872,1050000,700000,87392,55671,81810,384,6406144
36,1820,1872,1050000,700000,87133,56055,81810,384,6623232
38,1820,1872,1050000,700000,87651,56312,82330,384,6839296
39,1820,1872,1050000,700000,88169,56568,82590,384,7062528
40,1820,1872,1050000,700000,88687,56952,83110,384,7285760
41,1820,1872,1050000,700000,88169,56824,83110,384,7503872
43,1820,1872,1050000,700000,89205,57336,83630,384,7727104
44,1820,1872,1050000,700000,89723,57336,83890,384,7945216
45,1820,1872,1050000,700000,90241,57721,83890,384,8166400
46,1820,1872,1050000,700000,89723,57849,83890,384,8386560
48,1820,1872,1050000,700000,89205,58233,83890,384,8612864
49,1820,1872,1050000,700000,90241,58746,84670,384,8838144
50,1820,1872,1050000,700000,91536,58617,85710,384,9052160
51,1820,1872,1050000,700000,89723,58874,84930,384,9272320
53,1820,1872,1050000,700000,91018,59130,85190,384,9492480
54,1820,1872,1050000,700000,90759,59130,85190,384,9725952
55,1820,1872,1050000,700000,91536,59130,85970,384,9946112
56,1820,1872,1050000,700000,91536,59514,85710,384,10168320
58,1820,1872,1050000,700000,91536,59642,85450,384,10384384
59,1820,1872,1050000,700000,91277,59899,85970,384,10603520
60,1820,1742,1050000,700000,90759,60155,86230,384,10832896
61,1820,1872,1050000,700000,91277,59899,85710,384,11054080
63,1820,1742,1050000,700000,91018,59899,85970,384,11279360
64,1820,1742,1050000,700000,91277,60283,85970,384,11505664
65,1820,1872,1050000,700000,90241,60283,85970,384,11725824
67,1820,1536,1050000,700000,90241,60283,85710,384,11949056
68,1820,1536,1050000,700000,90500,60539,85710,384,12174336
69,1820,1536,1050000,700000,90241,60539,85450,384,12393472
70,1820,1742,1050000,700000,89982,60539,85710,384,12616704
72,1820,1872,1050000,700000,89205,60539,84930,384,12837888
73,1820,1872,1050000,700000,89205,60539,84930,384,13056000
74,1820,1742,1050000,700000,89723,60283,85190,384,13273088
76,1820,1482,1050000,700000,88946,60667,84930,384,13495296
77,1820,1536,1050000,700000,88946,60923,84930,384,13716480
78,1820,1742,1050000,700000,89464,60539,84930,384,13936640
79,1820,1482,1050000,700000,89464,60667,85190,384,14159872
81,1820,1482,1050000,700000,88687,60667,84930,384,14384128
82,1820,1536,1050000,700000,88428,60795,84930,384,14608384
83,1820,1742,1050000,700000,88169,60923,84150,384,14836736
85,1820,1536,1050000,700000,88687,61051,84670,384,15058944
86,1820,1228.8,1050000,700000,88169,61051,84670,384,15281152
87,1820,1536,1050000,700000,88169,61051,84410,384,15504384
89,1820,1536,1050000,700000,87651,60795,84150,384,15729664
90,1820,1536,1050000,700000,87651,60667,84150,384,15949824
91,1820,1536,1050000,700000,87133,60923,84150,384,16165888
93,1820,1536,1050000,700000,87651,60923,83890,384,16385024
94,1820,1536,1050000,700000,87651,60923,84150,384,16605184
95,1820,1536,1050000,700000,87651,61051,84150,384,16837632
97,1820,1536,1050000,700000,86615,61180,83890,384,17050624
98,1820,1482,1050000,700000,87910,61308,84410,384,17269760
99,1820,1482,1050000,700000,87910,61308,84150,384,17495040
101,1820,1536,1050000,700000,87651,61051,83890,384,17716224
102,1820,1228.8,1050000,700000,86615,61308,83890,384,17930240
103,1820,1536,1050000,700000,86874,61051,83370,384,18149376
104,1820,1482,1050000,700000,87651,61308,83890,384,18375680
106,1820,1228.8,1050000,700000,86874,61436,83890,384,18600960
107,1820,1482,1050000,700000,86356,61308,83890,384,18817024
108,1820,1536,1050000,700000,87133,61051,83890,384,19032064
110,1820,1228.8,1050000,700000,87133,61436,83890,384,19272704
111,1820,1536,1050000,700000,87133,61308,83890,384,19494912
112,1820,1482,1050000,700000,86097,61308,83370,384,19718144
114,1820,1228.8,1050000,700000,86615,61436,83890,384,19942400
115,1820,1228.8,1050000,700000,86097,61564,83630,384,20159488
116,1820,1482,1050000,700000,86097,61436,83370,384,20377600
118,1820,1228.8,1050000,700000,85579,61436,83110,384,20606976
119,1820,1228.8,1050000,700000,86097,61180,83630,384,20826112
121,1820,1228.8,1050000,700000,86097,61564,83110,384,21043200
122,1820,1228.8,1050000,700000,86615,61308,83890,384,21273600
123,1820,1228.8,1050000,700000,86097,61692,83370,384,21506048
125,1820,1228.8,1050000,700000,86097,61692,83110,384,21725184
126,1820,1228.8,1050000,700000,86097,61692,83370,384,21956608
127,1820,1228.8,1050000,700000,85838,61692,83630,384,22192128
129,1820,1228.8,1050000,700000,85838,61692,83630,384,22409216
