time_s,cpu0_mhz,cpu6_mhz,vddcpu_uV,vddgpu_uV,thmsoc,thmboard,thmcputop,gpu_mhz,kib_total
0,2002,2002,1050000,700000,62528,38744,57890,384,218112
1,1820,1872,1050000,700000,66413,41332,62050,384,444416
2,1820,1872,1050000,700000,70298,42751,65690,384,662528
3,1820,1872,1050000,700000,72370,44421,67770,384,876544
5,1820,1872,1050000,700000,73665,45642,69330,384,1094656
6,1820,1872,1050000,700000,75737,46979,71150,384,1314816
7,1820,1872,1050000,700000,78845,48008,73750,384,1520640
8,1820,1872,1050000,700000,77809,49037,73490,384,1737728
10,1820,1872,1050000,700000,79363,49758,74530,384,1954816
11,1820,1872,1050000,700000,80140,50581,74530,384,2172928
12,1820,1872,1050000,700000,82212,51095,76870,384,2394112
13,1820,1872,1050000,700000,81953,51713,76870,384,2616320
15,1820,1872,1050000,700000,82471,52124,77650,384,2836480
16,1820,1872,1050000,700000,83766,52433,78430,384,3058688
17,1820,1872,1050000,700000,83248,53462,78690,384,3280896
18,1820,1872,1050000,700000,84543,53668,79730,384,3500032
20,1820,1872,1050000,700000,84284,53771,79210,384,3718144
21,1820,1872,1050000,700000,84543,54285,79730,384,3937280
22,1820,1872,1050000,700000,86615,54388,81550,384,4176896
23,1820,1872,1050000,700000,86097,54800,80770,384,4392960
25,1820,1872,1050000,700000,86356,55159,81030,384,4612096
26,1820,1872,1050000,700000,87133,55927,81810,384,4836352
27,1820,1872,1050000,700000,87910,56184,82330,384,5061632
28,1820,1872,1050000,700000,88428,56440,82850,384,5284864
30,1820,1872,1050000,700000,87910,56696,82590,384,5504000
31,1820,1872,1050000,700000,88169,57208,83110,384,5723136
32,1820,1872,1050000,700000,88428,57465,83110,384,5943296
33,1820,1872,1050000,700000,89205,57721,83890,384,6159360
35,1820,1872,1050000,700000,89723,57593,83890,384,6381568
36,1820,1872,1050000,700000,89982,58233,84410,384,6608896
37,1820,1872,1050000,700000,89723,58233,84410,384,6830080
38,1820,1872,1050000,700000,90759,58489,85190,384,7047168
40,1820,1872,1050000,700000,89982,58746,84670,384,7265280
41,1820,1872,1050000,700000,90759,59002,85190,384,7482368
42,1820,1872,1050000,700000,91018,59130,85710,384,7705600
44,1820,1872,1050000,700000,91277,59386,85710,384,7931904
45,1820,1872,1050000,700000,91536,59386,85710,384,8148992
46,1820,1872,1050000,700000,91277,59642,85970,384,8367104
47,1820,1872,1050000,700000,91277,59770,85970,384,8585216
48,1820,1872,1050000,700000,91277,59899,85970,384,8805376
50,1820,1872,1050000,700000,91536,60155,86230,384,9026560
51,1820,1872,1050000,700000,91277,60411,85970,384,9251840
52,1820,1872,1050000,700000,90759,60539,85970,384,9464832
54,1820,1742,1050000,700000,90500,60539,85970,384,9681920
55,1820,1536,1050000,700000,91277,60283,86230,384,9901056
56,1820,1742,1050000,700000,90759,60283,85970,384,10120192
57,1820,1872,1050000,700000,90759,60667,85450,384,10338304
59,1820,1872,1050000,700000,90500,60667,86230,384,10553344
60,1820,1536,1050000,700000,91018,60923,85710,384,10785792
61,1820,1742,1050000,700000,89982,61051,85710,384,11008000
63,1820,1872,1050000,700000,88946,60923,85190,384,11224064
64,1820,1536,1050000,700000,89464,60667,85710,384,11439104
65,1820,1742,1050000,700000,89205,60923,84930,384,11662336
66,1820,1536,1050000,700000,89723,61051,85450,384,11880448
68,1820,1536,1050000,700000,89723,60923,85190,384,12108800
69,1820,1536,1050000,700000,88169,61180,84930,384,12332032
70,1820,1536,1050000,700000,89205,61051,84930,384,12559360
72,1820,1536,1050000,700000,88428,60923,84930,384,12780544
73,1820,1536,1050000,700000,88946,60923,84930,384,13003776
74,1820,1536,1050000,700000,88169,60923,84930,384,13225984
76,1820,1536,1050000,700000,88428,61051,84930,384,13449216
77,1820,1536,1050000,700000,88169,61436,84410,384,13664256
78,1820,1536,1050000,700000,88428,60923,84670,384,13887488
80,1820,1536,1050000,700000,88169,61308,84930,384,14113792
81,1820,1482,1050000,700000,88169,61308,84670,384,14337024
82,1820,1228.8,1050000,700000,87910,61436,84670,384,14560256
84,1820,1536,1050000,700000,87651,61308,84150,384,14785536
85,1820,1536,1050000,700000,87651,61436,84670,384,15008768
86,1820,1228.8,1050000,700000,87651,61436,84150,384,15232000
88,1820,1482,1050000,700000,88169,61436,84410,384,15456256
89,1820,1482,1050000,700000,88169,61308,84410,384,15676416
90,1820,1228.8,1050000,700000,87651,61436,84670,384,15901696
92,1820,1536,1050000,700000,87133,61436,84150,384,16117760
93,1820,1228.8,1050000,700000,86874,61692,84150,384,16339968
94,1820,1228.8,1050000,700000,87651,61564,84410,384,16560128
96,1820,1228.8,1050000,700000,87392,61564,83890,384,16778240
97,1820,1228.8,1050000,700000,86097,61692,83890,384,16996352
98,1820,1228.8,1050000,700000,87133,61436,83890,384,17228800
100,1820,1228.8,1050000,700000,86356,61436,83890,384,17457152
101,1820,1228.8,1050000,700000,86356,61564,83890,384,17679360
