time_s,fps_inst,gpu_mhz,vddgpu_uV,thmsoc,thmboard,thmgpu
1,,900,800000,40990,32818,39710
2,16.5,900,800000,42810,33402,41530
3,16.5,900,800000,44110,33736,42570
4,16.4,900,800000,46970,34404,45170
5,16.6,900,800000,45930,34821,44650
6,16.6,900,800000,46450,35406,44910
7,16.6,900,800000,46710,35573,45170
8,16.6,900,800000,47230,35906,45690
9,16.6,900,800000,47490,36157,46210
10,16.6,900,800000,47490,36407,46210
11,16.6,900,800000,48270,36491,46730
12,16.6,900,800000,48270,36908,46990
14,16.6,900,800000,48270,37075,46990
15,16.5,900,800000,48790,37242,47250
16,16.6,900,800000,48790,37492,47250
17,16.5,900,800000,48790,37826,47770
18,16.6,900,800000,48790,37659,47770
19,16.6,900,800000,49830,38077,48550
20,16.5,900,800000,49830,38160,48030
21,16.5,900,800000,49570,38327,48030
22,16.4,900,800000,49310,38244,48030
23,16.4,900,800000,49570,38494,48030
24,16.4,900,800000,49830,38327,48810
25,16.4,900,800000,49570,38327,48290
27,16.4,900,800000,49830,38744,48550
28,16.4,900,800000,49830,38744,48550
29,16.4,900,800000,49830,38828,48810
30,16.4,900,800000,50350,39329,49070
31,16.3,900,800000,50610,39078,49070
32,16.5,900,800000,50610,39078,49330
33,16.5,900,800000,50610,39078,49070
34,16.5,900,800000,50610,39078,49070
35,16.5,900,800000,50610,39496,49070
36,16.5,900,800000,50610,39412,49330
37,16.5,900,800000,50610,39663,49330
39,16.5,900,800000,50610,39412,49330
40,16.5,900,800000,51390,39663,49850
41,16.5,900,800000,51390,39663,49850
42,16.6,900,800000,51130,39830,49590
43,16.6,900,800000,51130,39997,49590
44,16.6,900,800000,51130,39746,49590
45,16.6,900,800000,51650,39913,50110
46,16.6,900,800000,51390,39746,49850
47,16.6,900,800000,51130,39997,49850
48,16.6,900,800000,51650,39997,50110
49,16.6,900,800000,51650,40247,50110
50,16.6,900,800000,52170,40080,50370
52,16.6,900,800000,51650,40247,50370
53,16.6,900,800000,51650,40080,50110
54,16.6,900,800000,51910,40414,50110
55,16.6,900,800000,52690,40080,51150
56,16.6,900,800000,52430,40497,50890
57,16.6,900,800000,52690,40664,50890
58,16.7,900,800000,52170,40664,50630
59,16.6,900,800000,52690,40664,51150
60,16.6,900,800000,52690,41082,51150
61,16.6,900,800000,52430,40915,51150
62,16.6,900,800000,52950,40915,51150
63,16.6,900,800000,52690,41165,50890
65,16.6,900,800000,52430,40915,50890
66,16.6,900,800000,52690,41082,51150
67,16.5,900,800000,52690,41249,50890
68,16.5,900,800000,52690,41082,50890
69,16.5,900,800000,52430,41332,50890
70,16.5,900,800000,52690,41165,51410
71,16.5,900,800000,52690,41165,51150
72,16.5,900,800000,52690,41499,51150
73,16.4,900,800000,52690,41583,51410
74,16.5,900,800000,52950,41499,51410
75,16.5,900,800000,52950,41583,51670
77,16.5,900,800000,52690,41750,51150
78,16.5,900,800000,52950,41750,51410
79,16.5,900,800000,52690,41750,51150
80,16.5,900,800000,52690,41833,51150
81,16.5,900,800000,53210,41833,51670
82,16.4,900,800000,53210,41916,51670
83,16.5,900,800000,53210,41750,51930
84,16.5,900,800000,53210,42000,51410
85,16.5,900,800000,53990,41833,52710
86,16.5,900,800000,53730,42167,52190
