time_s,fps_inst,gpu_mhz,vddgpu_uV,thmsoc,thmboard,thmgpu
0,,850,800000,47750,39162,46470
1,16.1,850,800000,50090,39579,48810
2,16.3,850,800000,50610,39997,49070
3,16.4,850,800000,50610,40330,49070
4,16.3,850,800000,51650,40831,50110
5,16.5,850,800000,54510,40915,53490
6,16.5,850,800000,57370,41583,54010
7,16.3,850,800000,54770,41916,53230
8,16.5,850,800000,53730,42083,52190
9,16.4,850,800000,53730,42334,52450
11,14.7,850,800000,53990,42334,52450
12,16.4,850,800000,53730,42250,52190
13,16.4,850,800000,53730,42501,52190
14,15.7,850,800000,53730,42584,52190
15,16.4,850,800000,54770,42584,53230
16,16.4,850,800000,53990,42918,52710
17,15.4,850,800000,55030,43002,53490
18,16.4,850,800000,54250,43252,52970
19,16.5,850,800000,54770,43252,53230
20,14.6,850,800000,55550,43252,54270
21,16.4,850,800000,54770,43753,53490
23,16.5,850,800000,54770,43419,53230
24,16.4,850,800000,55550,43502,54270
25,16.1,850,800000,54770,43586,53490
26,16.4,850,800000,55550,43669,54010
27,16.4,850,800000,58893,43920,56870
28,16.5,850,800000,56590,44087,55050
29,16.5,850,800000,55810,43753,54270
30,15.8,850,800000,56070,44087,54790
31,16.4,850,800000,55810,44087,54270
32,16.5,850,800000,56070,43920,54530
33,16.5,850,800000,55550,44087,54270
34,16.4,850,800000,55290,43920,54010
36,16.3,850,800000,56330,44087,55050
37,16.0,850,800000,55550,44170,54270
38,16.4,850,800000,56330,44254,54790
39,16.4,850,800000,56850,44588,55570
40,16.4,850,800000,56330,44254,54790
41,16.5,850,800000,56590,44421,55050
42,16.3,850,800000,54770,44254,54010
43,14.1,850,800000,55290,44588,54270
44,16.4,850,800000,55290,44337,54010
45,16.5,850,800000,56590,44170,55830
46,16.4,850,800000,55810,44337,54270
48,16.4,850,800000,61270,44421,57650
49,15.2,850,800000,56070,44755,55050
50,16.4,850,800000,56330,44337,54530
51,16.5,850,800000,56850,44421,55050
52,14.2,850,800000,54770,44588,53490
53,16.3,850,800000,55550,44421,54270
54,16.4,850,800000,55810,44504,54530
55,16.3,850,800000,56590,44254,54790
56,16.4,850,800000,57110,44838,55570
57,16.4,850,800000,56850,44755,55570
58,16.2,850,800000,56850,44671,55310
59,16.4,850,800000,56590,45024,55050
61,16.4,850,800000,56070,44755,55830
62,15.4,850,800000,56850,45024,55310
63,16.3,850,800000,56590,44922,54790
64,16.4,850,800000,56070,44838,54530
65,16.2,850,800000,56070,44838,54530
66,16.3,850,800000,56330,44588,55050
67,16.4,850,800000,56070,44755,54790
68,16.5,850,800000,56590,44838,55310
69,16.4,850,800000,56330,44838,55050
70,16.4,850,800000,56070,45024,54790
71,16.4,850,800000,56850,45024,55570
72,16.0,850,800000,56590,45127,55050
74,16.5,850,800000,56070,45024,54790
75,16.5,850,800000,56850,44755,55310
76,16.5,850,800000,56850,45127,55310
77,16.4,850,800000,56850,45127,55570
78,15.2,850,800000,57110,45127,55570
79,16.4,850,800000,56850,45024,55570
80,16.4,850,800000,57630,45230,56350
81,16.4,850,800000,57110,45436,56090
82,16.5,850,800000,57110,45436,55830
83,16.6,850,800000,57630,45539,56610
84,15.8,850,800000,57110,45127,55570
86,16.4,850,800000,56850,45127,55310
87,16.4,850,800000,57370,45642,56350
88,16.2,850,800000,56850,45436,55570
89,16.4,850,800000,56850,45333,55310
90,16.4,850,800000,57890,45848,56350
91,16.4,850,800000,56850,45642,55570
92,16.3,850,800000,56850,45539,55310
93,16.2,850,800000,57110,45436,56350
94,16.2,850,800000,57110,45333,55570
95,16.5,850,800000,56850,45333,55310
96,16.5,850,800000,59450,45539,58170
98,16.6,850,800000,57890,45436,56350
99,16.5,850,800000,57370,45642,55570
100,16.4,850,800000,58150,45642,56870
101,16.5,850,800000,57110,45642,56090
102,16.5,850,800000,57890,45642,56350
103,16.4,850,800000,57370,45745,56350
104,16.4,850,800000,57890,45950,56350
105,16.4,850,800000,57890,45745,56090
106,15.9,850,800000,57630,45950,56090
107,16.4,850,800000,57370,45642,56090
108,16.4,850,800000,57370,45745,56350
110,16.4,850,800000,58150,46053,56870
111,16.5,850,800000,57630,46053,56350
112,16.4,850,800000,58150,46259,57130
113,16.5,850,800000,58410,45950,57130
114,16.4,850,800000,59190,46259,57650
115,16.2,850,800000,57890,45950,56350
116,16.4,850,800000,57890,46465,56610
117,16.4,850,800000,57890,46362,56350
118,16.4,850,800000,57890,46259,56350
119,14.5,850,800000,57110,46362,55570
120,16.5,850,800000,57110,46156,55830
121,16.5,850,800000,57110,45950,55570
123,16.5,850,800000,57890,46156,56350
124,16.5,850,800000,57630,46156,56350
125,16.4,850,800000,57110,46053,56090
126,16.3,850,800000,57630,45848,56350
127,16.5,850,800000,57630,46259,56610
128,16.4,850,800000,57110,46053,56090
129,15.7,850,800000,57890,46465,56350
130,16.5,850,800000,57890,46053,56090
131,16.4,850,800000,57370,46053,56090
132,14.9,850,800000,57890,46156,56350
133,16.2,850,800000,57630,46259,56090
135,16.4,850,800000,57110,46053,55830
136,16.3,850,800000,57630,46362,56350
137,16.4,850,800000,58150,46053,56610
138,16.5,850,800000,58150,46568,56870
139,16.4,850,800000,58670,46568,57130
140,16.4,850,800000,58150,46568,56610
141,16.3,850,800000,57890,46362,56610
142,14.9,850,800000,58410,46671,57910
143,16.5,850,800000,58150,46465,56870
144,16.5,850,800000,58670,46465,57130
145,16.5,850,800000,57890,46774,56610
146,16.5,850,800000,57890,46465,56350
148,16.5,850,800000,58670,46671,57130
149,15.4,850,800000,57890,46465,56350
150,16.4,850,800000,57630,46568,56350
151,16.5,850,800000,57630,46362,56870
152,15.0,850,800000,57890,46671,56350
153,16.4,850,800000,57890,46362,56350
